time,agg_demand,agg_supply,historical_prices,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions
2184,12870.566666666666,0,0,14,0,7,7
2185,13215.466666666667,0,0,14,0,7,7
2186,11908.116666666663,0,0,16,0,8,8
2187,12993.333333333332,0,0,14,0,7,7
2188,9334.18333333333,0,0,14,0,7,7
2189,10542.416666666668,0,0,16,0,8,8
2190,12720.733333333332,361.9166666666667,0,14,0,7,7
2191,10497.5,2218.8666666666663,0,16,0,8,8
2192,13831.983333333332,3588.2666666666664,0.064,20,7,17,3
2193,11576.916666666668,10765.4,0.009,23,11,23,0
2194,9555.716666666667,2533.183333333333,0.047,22,10,21,1
2195,9914.333333333332,3433.55,0.03,19,9,19,0
2196,12932.066666666666,8930.733333333334,0.048,27,13,27,0
2197,15485.216666666665,7345.299999999999,0.016,27,13,27,0
2198,20450.233333333334,5990.549999999999,0.055,25,12,25,0
2199,15637.866666666667,11169.333333333336,0.062,26,12,25,1
2200,16637.63333333333,8915.6,0.036,23,11,23,0
2201,12576.466666666667,3507.366666666666,0.046,35,23,35,0
2202,11648.633333333333,334.6833333333333,0,14,0,7,7
2203,13100.649999999998,0,0,16,0,8,8
2204,13134.166666666668,0,0,20,0,10,10
2205,11094.366666666667,0,0,20,0,10,10
2206,10744.516666666666,0,0,22,0,11,11
2207,9564.633333333335,0,0,24,0,12,12
2208,8420.583333333332,0,0,24,0,12,12
2209,8397.683333333332,0,0,20,0,10,10
2210,8591.766666666665,0,0,16,0,8,8
2211,11918.516666666668,0,0,14,0,7,7
2212,9510.133333333333,0,0,14,0,7,7
2213,8332.233333333334,0,0,14,0,7,7
2214,11422.31666666667,146.23333333333335,0,14,0,7,7
2215,12855.58333333333,2537,0,14,0,7,7
2216,15737.15,7933.816666666666,0.054,18,5,14,4
2217,17034.25,13847.333333333334,0.059,24,11,23,1
2218,17513.833333333336,19974.48333333333,0.052,26,12,26,0
2219,12562.199999999999,24029.566666666666,0.055,25,10,25,0
